	LeukocyteMeth_score	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA.24.1474.01	0.0816956501461116	13.361742857142902	4.5478	13.743757142857099	2.2359875	14.856	840.444785714286	21.16222	254.04774	269.213561290323	1742.4696875
TCGA.24.1544.01	0.0383913993993771	442.34495	30.4663	40.6571	1.02175	211.3134	131.067642857143	8.916960000000001	256.26354666666697	232.53420967741903	2010.8675375
TCGA.24.1545.01	0.26585313114123	348.8301	104.0845	116.0514	6.6266875	297.8861625	893.981514285714	78.70345999999999	282.883433333333	292.59534838709703	47721.8648375
TCGA.24.1546.01	0.15124000017356304	64.7538	5.1851	7.80608571428571	2.1936875	62.4202375	660.481814285714	114.39053999999999	282.12082666666697	366.31494516129	71179.7264
TCGA.24.1548.01	0.0603082315774311	63.18192142857139	9.0678	7.8958	1.7272125	83.6886625	300.35485714285704	15.2426	147.388486666667	291.431829032258	2919.7312125
TCGA.24.1549.01	0.07467485005390899	221.0393	39.3959	324.387014285714	13.4192375	379.965525	197.197257142857	26.72358	242.48195333333302	178.72175161290298	4282.2554
TCGA.24.1550.01	0.26651437621199897	55.766542857142895	70.2871	28.674885714285697	5.7562625	72.1426875	853.312557142857	87.55584	311.70694666666697	584.957661290323	51995.5301875
TCGA.24.1551.01	0.154057314908923	84.1849928571429	38.0854	93.89015714285709	9.7786875	38.9861125	776.119414285714	59.3927	260.387713333333	286.629583870968	3651.0550625
TCGA.24.1552.01	0.0290753608296435	257.42985714285703	5.8036	11.607142857142902	2.2321375	10.9933125	218.068242857143	18.8393	311.90476	231.45505483871003	5903.9057
TCGA.24.1553.01	0.215844979481518	224.27027857142897	317.2939	306.445871428571	5.6150375	426.742525	1037.20385714286	56.18598000000001	339.540166666667	260.11295483871004	5499.35025
TCGA.24.1555.01	0.0528633897638047	64.9703142857143	5.8838	11.6529857142857	0.60175	144.8221125	253.118728571429	12.19554	250.329626666667	197.990487096774	1300.6944125
TCGA.24.1556.01	0.0820265521592296	67.22587857142861	36.3356	62.32348571428571	8.252675	48.3287	513.312014285714	37.617979999999996	209.44804666666698	283.19519032258097	8631.05235
TCGA.24.1557.01	0.0487919420638192	127.197764285714	11.8996	4.92981428571429	2.00805	87.536125	297.2339	24.3941	318.15446000000003	324.122596774194	4860.3735875
TCGA.24.1558.01	0.0416808657047346	494.049342857143	4.471	5.748471428571429	1.1177625	32.519775	244.230271428571	21.1815	302.80082000000004	234.50378064516102	6211.52465
TCGA.24.1560.01	0.0365075432308177	193.339735714286	6.3672	10.2077	3.0509375	37.362925	189.488614285714	29.9257	204.85791333333302	197.44914193548402	3530.5058375
TCGA.24.1562.01	0.0867537820429565	175.442335714286	24.4891	56.82611428571429	5.0881125	167.2458125	374.52281428571405	89.15361999999999	273.74866000000003	273.037777419355	27314.6976
TCGA.24.1563.01	0.066479326964188	222.150878571429	17.9775	35.4143857142857	4.5535125	62.8030875	385.9079	42.578340000000004	221.88054	297.270932258065	80590.8468375
TCGA.24.1564.01	0.277815801274026	117.9928	19.1284	38.9064285714286	4.0151375	40.5125	2029.4144	139.52902	321.66983999999997	248.74294516128998	35588.963725
TCGA.24.1567.01	0.0433354991968419	77.95232142857141	2293.6963	20.1596428571429	0.5820125	17.0576875	128.632842857143	7.59312	599.474686666667	207.516061290323	7325.841675
TCGA.24.1603.01	0.0364257921431158	59.303857142857105	4.6189	11.2999	1.2990875	58.7832	197.088414285714	39.43416	195.91992	312.13673225806497	3444.969675
TCGA.24.1604.01	0.0628233414861617	65.9686785714286	8.7512	20.181257142857103	2.3831375	56.2966125	284.77041428571397	14.877	230.385126666667	290.224780645161	5836.157675
TCGA.24.1616.01	0.0796340423345891	242.176835714286	3.1194	29.233242857142898	1.83265	222.1792375	117.735057142857	8.048060000000001	235.681046666667	279.23275806451596	4166.5431875
TCGA.24.1842.01	0.14875974243683898	216.818078571429	77.9451	128.972514285714	10.16675	37.32045	565.224442857143	40.056999999999995	310.74111333333303	284.940377419355	17726.959575
TCGA.24.1843.01	0.11725148096474301	112.251428571429	221.12	62.67428571428571	3.36	118.24	723.663085714286	43.648	199.637333333333	188.025393548387	6348.9064
TCGA.24.1844.01	0.030597000096234	61.90475	0.6908	2.36861428571429	1.1226375	55.18135	171.053057142857	21.001720000000002	234.97986	267.73235483871	7895.658875
TCGA.24.1846.01	0.0635957425507962	55.972078571428604	15.0971	73.3798857142857	6.69485	34.2379625	488.4605	25.23366	292.930746666667	108.228351612903	16859.6774
TCGA.24.1847.01	0.287094746481039	154.548564285714	273.9944	236.195028571429	7.467125	82.2381375	895.2824571428571	63.560340000000004	202.761186666667	250.78621612903197	14719.3891625
TCGA.24.1849.01	0.30629206628216604	786.8314	147.1113	149.935228571429	13.74455	147.861175	1199.82451428571	178.5903	411.378506666667	621.384451612903	82986.1308375
TCGA.24.1850.01	0.0948409098286037	1799.0155	54.9853	47.23504285714289	3.6657	83.3028	444.007128571429	13.63636	250.048886666667	139.807729032258	36805.263925
