"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"RAD21"	-0.0325606529830269	7.11189197846871	-0.127244160209857	0.899445238982153	0.983982824392068	-5.89355626167817
"GCNT1"	0.0411114631364597	6.4278270515611	0.127139867063675	0.899527201394084	0.983982824392068	-5.89356888429786
"RAB11B"	0.0283360340398104	5.88280008587504	0.127100749629841	0.89955794348371	0.983982824392068	-5.89357361602195
"INTS8"	0.0585083476686563	9.57498782365632	0.127050321171736	0.89959757505169	0.983982824392068	-5.89357971380406
"CEACAM6"	0.0240986588075627	4.87142288009352	0.126947542594329	0.899678349222383	0.983982824392068	-5.89359213424981
"LOC541472"	-0.0152307727968837	3.78699430929144	-0.126891460429694	0.899722424917606	0.983982824392068	-5.89359890735616
"MGC87042"	-0.0152307727968837	3.78699430929144	-0.126891460429694	0.899722424917606	0.983982824392068	-5.89359890735616
"GZF1"	-0.0251682138231555	6.12798148312822	-0.126744246785453	0.899838123548057	0.983982824392068	-5.89361667228862
"IER2"	-0.0639835577781529	6.94512272863345	-0.126671062881713	0.899895641307026	0.983982824392068	-5.89362549605252
"OR12D3"	0.0237886513057637	4.49481712533509	0.126651263821656	0.899911202166642	0.983982824392068	-5.89362788234488
"EIF5A"	-0.0405615594916817	11.7521145421373	-0.126644998824836	0.899916126082271	0.983982824392068	-5.89362863735937
"RSPH10B"	0.024912219275298	4.30456472840992	0.126634732080513	0.89992419514258	0.983982824392068	-5.89362987455639
"SLITRK6"	0.0328601162020128	4.67857658432641	0.126631132657557	0.899927024080965	0.983982824392068	-5.89363030828217
"RGS10"	-0.0605998020539271	12.2581604810056	-0.126426494626097	0.900087859921427	0.984043088311478	-5.89365494664339
"GULP1"	0.0336671333954506	6.45285085422363	0.126390289983057	0.900116315508257	0.984043088311478	-5.89365930152746
"WWC2"	-0.0311180216710305	5.32418902582769	-0.126050088551872	0.900383708495495	0.984161115466887	-5.89370016186887
"BNIP2"	-0.0307692442576997	6.23008668075558	-0.125980248268516	0.900438603320309	0.984161115466887	-5.89370853651577
"NFE2"	-0.0146464495240246	3.35598033251134	-0.12596376168293	0.90045156193443	0.984161115466887	-5.89371051276899
"GAB2"	0.024972805634226	4.13114984120107	0.125911475474847	0.900492659577385	0.984161115466887	-5.89371677862717
"ACY1"	-0.0239030568002141	5.46588584841929	-0.125701545670303	0.900657669943811	0.984268119709121	-5.89374190996315
"PPP2R1A"	-0.016267438533208	5.11397540592537	-0.125613846126461	0.90072660542434	0.984270122056487	-5.8937523963352
"SLC25A18"	-0.0114064983274105	4.13076626017575	-0.125214314384786	0.901040663813044	0.984452682078141	-5.89380007644007
"OR4D1"	0.0200278146624058	3.91654001388239	0.125192309022628	0.901057961953228	0.984452682078141	-5.89380269814992
