"entrez_id","hgnc_symbol","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19-T10","RG19-T11","RG19-T7","RG19-T8","RG19-T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20-T10","RG20-T12","RG20-T14","RG20-T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14Rep","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"642475","MROH6",7,7,7,7,7,5,5,6,5,5,7,4,4,4,4,5,5,5,5,4,5,2,2,2,2,2,5,5,4,3,5,5,7,5,3,3,3,3,3,8,8,7,8,8,8,8,8,8,8,8
"6425","SFRP5",3,2,2,2,2,2,2,3,2,2,2,NA,NA,NA,NA,4,4,4,2,3,4,3,3,3,3,3,3,3,4,3,5,3,3,4,2,2,2,2,2,2,2,3,3,2,2,3,4,3,4,2
"642559","POU5F1P3",4,3,3,3,3,3,5,2,5,3,5,2,2,2,2,4,4,5,3,4,4,3,4,3,3,3,4,4,8,8,8,8,8,8,3,3,3,3,3,4,4,7,5,4,5,5,6,6,6,6
"642587","MIR205HG",5,5,5,5,4,4,NA,2,NA,NA,NA,3,3,3,3,7,7,7,4,5,7,3,4,NA,NA,NA,5,4,7,5,4,4,5,4,1,1,1,1,1,4,4,7,5,5,5,8,2,NA,5,6
"642597","AKAIN1",3,2,2,3,2,2,2,3,2,2,2,4,4,5,3,3,3,5,3,3,3,2,3,2,2,2,3,3,NA,NA,4,4,3,5,3,3,3,3,3,2,2,3,3,2,2,3,7,5,6,NA
"6426","SRSF1",6,5,4,4,4,4,3,6,2,2,2,2,2,2,3,6,6,5,3,4,6,3,3,3,3,3,3,3,4,3,3,3,2,4,3,3,3,3,3,4,4,6,6,4,4,5,6,5,6,4
"642612","TRIM49C",7,4,4,4,5,4,4,2,3,4,3,2,2,2,2,4,4,6,3,4,5,2,3,2,2,2,2,2,3,2,NA,5,7,NA,3,3,3,3,3,4,4,7,5,4,5,5,8,8,8,8
"642623","UBTFL1",7,4,4,4,5,4,4,2,3,4,3,2,2,2,2,4,4,6,3,4,5,2,3,2,2,2,2,2,3,2,NA,5,7,NA,3,3,3,3,3,4,4,7,5,4,5,5,8,8,8,8
"642636","RAD21L1",5,5,5,5,4,4,5,2,5,4,5,2,2,2,2,7,7,7,3,5,7,5,6,5,5,6,3,3,NA,NA,7,7,7,7,4,4,4,4,4,6,8,8,8,6,8,7,6,7,6,7
"642658","SCX",7,7,7,7,7,7,5,6,5,5,7,4,4,4,4,5,5,5,5,4,5,2,2,2,2,2,5,5,4,3,5,5,7,5,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,8,8,8,8
"6427","SRSF2",6,5,NA,NA,5,4,3,6,3,2,2,2,2,2,2,6,6,6,3,4,6,3,3,3,3,3,3,3,5,3,3,3,2,4,3,3,4,3,3,3,3,4,4,4,3,5,4,5,4,4
"642778","NPIPA3",5,5,5,5,4,4,4,2,5,4,5,2,2,2,2,5,5,5,3,4,5,2,3,2,2,2,3,3,3,2,3,3,2,4,2,2,2,2,2,2,2,3,3,2,2,3,4,4,4,3
"6428","SRSF3",4,3,3,3,3,3,7,NA,5,6,8,2,2,2,2,4,4,4,2,3,4,7,7,7,7,7,4,4,6,4,3,3,3,4,5,5,5,5,5,5,5,7,5,5,6,5,2,6,4,5
"642819","ZNF487",5,5,5,5,4,4,2,3,2,2,2,3,3,3,3,4,4,4,2,3,4,3,2,3,3,3,2,2,NA,NA,5,5,5,5,3,3,3,3,3,4,4,7,5,4,5,5,4,3,4,3
"64282","TENT4B",4,3,3,3,3,4,2,3,2,2,2,2,2,2,2,3,3,3,1,3,3,3,3,3,3,3,2,2,4,3,3,3,3,4,2,2,2,2,2,2,2,3,3,2,2,3,4,4,4,3
"64283","ARHGEF28",3,2,2,2,2,2,4,2,2,2,2,2,2,3,2,3,3,4,2,4,4,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,3,5,5,5,3
"64284","RAB17",2,2,1,1,1,1,5,2,2,3,2,2,2,2,2,3,3,4,2,3,3,4,5,4,4,4,5,4,6,5,3,5,4,5,2,2,2,2,2,4,4,7,5,4,5,5,4,5,5,3
"642843","CPSF4L",4,3,3,3,3,3,3,6,2,2,2,2,2,2,2,6,6,6,3,4,6,3,3,3,3,3,3,3,4,3,3,3,2,4,3,3,3,3,3,3,3,4,4,4,3,5,4,4,4,3
"642846","LOC642846",4,3,3,3,3,3,5,2,5,3,5,2,2,2,2,4,4,5,3,4,4,3,4,3,3,3,4,4,8,8,8,8,7,8,3,3,3,3,3,4,4,7,5,4,5,5,6,6,6,6
"64285","RHBDF1",3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,4,5,2,3,2,2,2,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2
"642852","LOC642852",4,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,5,1,2,3,3,3,3,3,3,3,3,4,3,4,4,3,5,NA,NA,NA,NA,NA,4,4,7,5,4,5,5,4,3,4,2
"642864","SPATA42",4,3,3,2,3,2,4,2,3,3,3,3,3,3,3,4,4,5,2,3,4,4,4,4,4,4,5,4,4,3,5,5,6,5,3,3,3,3,3,4,4,4,5,4,5,5,7,7,7,5
"64288","ZSCAN31",5,5,5,5,4,3,7,4,5,7,7,2,2,2,2,4,4,4,2,3,4,3,7,3,5,3,6,7,8,7,3,3,3,4,4,5,4,4,4,4,4,7,5,4,5,5,5,6,3,7
"6429","SRSF4",4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,2,3,4,5,4,5,5,5,5,4,6,4,5,5,5,5,2,2,2,2,2,4,4,6,5,4,4,5,4,4,4,3
"642924","LINC00535",5,5,5,5,4,4,5,2,5,4,5,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,5,4,4,3,3,5,6,5,3,3,3,3,3,6,6,8,8,6,6,8,2,4,3,6
"642938","INSYN2",3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,4,4,4,2,3,4,3,3,3,3,3,3,3,5,4,3,3,3,4,NA,NA,NA,NA,NA,5,4,7,5,4,5,5,4,3,4,2
"642946","FLVCR1-DT",5,5,5,5,4,4,4,2,1,2,1,3,3,3,3,7,7,7,4,5,7,3,4,3,3,3,5,4,7,5,4,4,5,4,1,1,1,1,1,2,2,3,3,3,3,5,2,5,5,6
"642968","FAM163B",7,5,5,5,5,4,4,2,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,4,3,4,4,5,4,2,2,2,2,2,4,4,6,6,4,4,7,4,7,6,4
"642976","GRIK1-AS1",3,3,2,2,2,2,6,2,6,6,8,2,2,2,2,3,3,5,1,3,3,3,2,3,3,3,3,3,4,3,NA,5,3,5,3,3,2,3,3,4,4,7,5,4,5,5,6,5,5,8
"642987","TMEM232",3,2,2,2,2,2,4,2,1,2,1,2,2,2,2,4,4,4,2,4,4,2,2,2,2,2,3,3,4,3,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,2
"643","CXCR5",3,2,2,2,2,2,3,2,3,4,3,2,2,2,2,2,2,7,2,2,3,2,2,2,2,2,2,2,3,2,4,3,3,4,3,3,3,3,3,2,2,3,3,2,2,3,5,4,3,4
"6430","SRSF5",3,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2,2,2,1,2,2,3,3,3,3,3,3,3,4,3,5,5,5,5,3,3,3,3,3,4,4,4,5,4,5,5,5,5,5,5
"643008","SMIM5",4,3,3,3,3,NA,3,6,3,2,2,3,3,4,4,6,6,6,3,4,6,3,3,3,3,3,3,3,5,3,3,3,2,4,3,3,4,3,3,3,3,4,4,4,3,5,4,4,4,4
